dateTime,cpuTime,availRamMb,tcpv4TotalConn,tcpV6TotalConn,httpdSize,httpd1Size,httpd1Private,httpd1NPBytes,httpd1Handle,httpd2Size,total1911,established1911,time_wait1911,fin_wait1911,total1912,established1912,time_wait1912,fin_wait1912,total7077,established7077,time_wait7077,fin_wait7077,total7078,established7078,time_wait7078,fin_wait7078 
11/30/2023 12:54:07.481,100,8604,12513,0,4272128,24185667584,24906117120,8772208,67795,0,4,2,0,0,5382,3895,1466,0,1478,6,1470,0,594,592,0,0 
11/30/2023 12:55:39.395,27.801131349034257,8578,10999,0,4272128,24198148096,24919048192,8212696,66895,0,2,0,0,0,4787,3092,1693,0,1632,8,1621,0,50,42,6,0 
11/30/2023 12:56:37.769,38.915062902060761,8600,10993,0,4272128,24207994880,24929148928,8218640,66908,0,3,1,0,0,4693,3091,1600,0,1509,9,1497,0,38,32,4,0 
11/30/2023 12:57:37.717,43.101475822199362,8667,10977,0,4272128,24239017984,24960778240,8427472,66900,0,3,0,1,0,4726,3098,1626,0,1506,6,1498,0,40,36,2,0 
11/30/2023 12:58:37.344,19.114795865544355,8645,10976,0,4272128,24242417664,24964534272,8209376,66898,0,2,0,0,0,4644,3085,1557,0,1579,4,1573,0,42,38,2,0 
11/30/2023 12:59:37.396,17.987890097411928,8600,11003,0,4272128,24245485568,24967835648,8433696,66925,0,3,0,1,0,4832,3100,1730,0,1770,6,1762,0,57,50,5,0 
11/30/2023 13:00:38.856,30.225187211102345,8577,10964,0,4272128,24251817984,24973885440,8293792,66883,0,3,0,1,0,4727,3096,1629,0,1534,6,1526,0,41,38,1,0 
11/30/2023 13:01:37.982,27.425656924330667,8636,10949,0,4272128,24255823872,24978014208,8306408,66885,0,2,0,0,0,4668,3083,1583,0,1436,6,1428,0,37,34,1,0 
11/30/2023 13:02:37.514,27.217498978327768,8588,10953,0,4272128,24255823872,24978014208,8225704,66894,0,4,0,2,0,4649,3090,1557,0,1659,4,1653,0,35,32,1,0 
11/30/2023 13:03:36.931,25.270619994792188,8580,10984,0,4272128,24263573504,24986537984,8225080,66915,0,10,0,8,0,4879,3094,1783,0,1684,4,1678,0,45,42,1,0 
11/30/2023 13:04:36.048,21.303790657372602,8619,10978,0,4272128,24265760768,24988188672,8256472,66913,0,2,0,0,0,4920,3100,1818,0,1725,4,1719,0,41,38,1,0 
11/30/2023 13:05:36.170,17.970598698261753,8569,10972,0,4272128,24265760768,24988188672,8454184,66901,0,4,0,2,0,4838,3092,1744,0,1509,2,1505,0,39,36,1,0 
11/30/2023 13:06:37.598,20.02582264428704,8605,10966,0,4272128,24267788288,24990113792,8234776,66903,0,3,0,1,0,4779,3086,1691,0,1651,6,1642,0,40,36,2,0 
